Line Section,Equipment / Asset ID,Manufacturer Code Pillow Block,Manufacturer Pillow Block,Manufacturer Code Bearing,Manufacturer Bearing,Bearing Type,Lubricant Type,Grease Fitting Position,Bearing Volume,Pillow Block 1st Fill %,Pillow Block 1st Fill g,Lubrication Grease (g),Lubrication Period (weeks)
PROCESS SECTION,DFR - 250 - CONDUCTOR ROLL# 78 - OPS Side,04693120-519-1,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,HDR - 251 - HOLD DOWN ROLL 78S - Driven Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,HDR - 252 - HOLD DOWN ROLL 78S - OPS Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,SKR - 253 - SINK ROLL #79 - Driven Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 254 - SINK ROLL #79 - OPS Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SNR - 255 - ROLL 80 - Driven Side,04693330-509-1 (B),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 256 - ROLL 80 - OPS Side,04693330-509-1 (B),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 257 - SNUBBER ROLL ASSEMBLY 80S - Driven Side,04693330-509-1 (B),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 258 - SNUBBER ROLL ASSEMBLY 80S - OPS Side,04693330-509 (BA),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 259 - DRIVE ROLL ASSY 81 - Driven Side,04693330-509-1 (B),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 260 - DRIVE ROLL ASSY 81 - OPS Side,04693330-509 (BA),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 261 - SNUBBER ROLL ASSEMBLY 81S - Driven Side,04693330-509-1 (B),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,SNR - 262 - SNUBBER ROLL ASSEMBLY 81S - OPS Side,04693330-509 (BA),DOFASCO,22215CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Center,59 cm3,20%,11 g,7 g,1
PROCESS SECTION,DFR - 263 - DEFLECTOR ROLL #82 - Driven Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,DFR - 264 - DEFLECTOR ROLL #82 - OPS Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,DFR - 265 - DEFLECTOR ROLL #83 - Driven Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,DFR - 266 - DEFLECTOR ROLL #83 - OPS Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,GRR - 267 - GROUNDING ROLL #84 - Driven Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,GRR - 268 - GROUNDING ROLL #84 - OPS Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,DFR - 269 - DEFLECTOR ROLL #85 - Driven Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
